_Hex,_Red,_Green,_Blue,_Title,_Name,_grey,_X11,_SVG,
'EEEED1,238,238,209,LightYellow2,,,X11,,
'CDCDB4,205,205,180,LightYellow3,,,X11,,
'8B8B7A,139,139,122,LightYellow4,,,X11,,
'00FF00,0,255,0,lime,,,X11,SVG,
'32CD32,50,205,50,LimeGreen,lime-green,,X11,SVG,
'FAF0E6,250,240,230,linen,,,X11,SVG,
'FF00FF,255,0,255,magenta,,,X11,SVG,
'FF00FF,255,0,255,magenta1,,,X11,,
'EE00EE,238,0,238,magenta2,,,X11,,
'CD00CD,205,0,205,magenta3,,,X11,,
'8B008B,139,0,139,magenta4,,,X11,,
'B03060,176,48,96,maroon,,,X11,diff,
'FF34B3,255,52,179,maroon1,,,X11,,
'EE30A7,238,48,167,maroon2,,,X11,,
'CD2990,205,41,144,maroon3,,,X11,,
'8B1C62,139,28,98,maroon4,,,X11,,
'66CDAA,102,205,170,MediumAquamarine,medium-aquamarine,,X11,SVG,
'0000CD,0,0,205,MediumBlue,medium-blue,,X11,SVG,
'BA55D3,186,85,211,MediumOrchid,medium-orchid,,X11,SVG,
'E066FF,224,102,255,MediumOrchid1,,,X11,,
'D15FEE,209,95,238,MediumOrchid2,,,X11,,
'B452CD,180,82,205,MediumOrchid3,,,X11,,
'7A378B,122,55,139,MediumOrchid4,,,X11,,
'9370DB,147,112,219,MediumPurple,medium-purple,,X11,SVG,
'AB82FF,171,130,255,MediumPurple1,,,X11,,
'9F79EE,159,121,238,MediumPurple2,,,X11,,
'8968CD,137,104,205,MediumPurple3,,,X11,,
'5D478B,93,71,139,MediumPurple4,,,X11,,
'3CB371,60,179,113,MediumSeaGreen,medium-sea-green,,X11,SVG,
'7B68EE,123,104,238,MediumSlateBlue,medium-slate-blue,,X11,SVG,
'00FA9A,0,250,154,MediumSpringGreen,medium-spring-green,,X11,SVG,
'48D1CC,72,209,204,MediumTurquoise,medium-turquoise,,X11,SVG,
'C71585,199,21,133,MediumVioletRed,medium-violet-red,,X11,SVG,
'191970,25,25,112,MidnightBlue,midnight-blue,,X11,SVG,
'F5FFFA,245,255,250,MintCream,mint-cream,,X11,SVG,
'FFE4E1,255,228,225,MistyRose,misty-rose,,X11,SVG,
'FFE4E1,255,228,225,MistyRose1,,,X11,,
'EED5D2,238,213,210,MistyRose2,,,X11,,
'CDB7B5,205,183,181,MistyRose3,,,X11,,
'8B7D7B,139,125,123,MistyRose4,,,X11,,
'FFE4B5,255,228,181,moccasin,,,X11,SVG,
'FFDEAD,255,222,173,NavajoWhite,navajo-white,,X11,SVG,
'FFDEAD,255,222,173,NavajoWhite1,,,X11,,
'EECFA1,238,207,161,NavajoWhite2,,,X11,,
'CDB38B,205,179,139,NavajoWhite3,,,X11,,
'8B795E,139,121,94,NavajoWhite4,,,X11,,
'000080,0,0,128,navy,,,X11,SVG,
'000080,0,0,128,NavyBlue,navy-blue,,X11,,
'FDF5E6,253,245,230,OldLace,old-lace,,X11,SVG,
'808000,128,128,0,olive,,,X11,SVG,
'6B8E23,107,142,35,OliveDrab,olive-drab,,X11,SVG,
'C0FF3E,192,255,62,OliveDrab1,,,X11,,
'B3EE3A,179,238,58,OliveDrab2,,,X11,,
'9ACD32,154,205,50,OliveDrab3,,,X11,,
'698B22,105,139,34,OliveDrab4,,,X11,,
'FFA500,255,165,0,orange,,,X11,SVG,
'FFA500,255,165,0,orange1,,,X11,,
'EE9A00,238,154,0,orange2,,,X11,,
'CD8500,205,133,0,orange3,,,X11,,
'8B5A00,139,90,0,orange4,,,X11,,
'FF4500,255,69,0,OrangeRed,orange-red,,X11,SVG,
'FF4500,255,69,0,OrangeRed1,,,X11,,
'EE4000,238,64,0,OrangeRed2,,,X11,,
'CD3700,205,55,0,OrangeRed3,,,X11,,
'8B2500,139,37,0,OrangeRed4,,,X11,,
'DA70D6,218,112,214,orchid,,,X11,SVG,
'FF83FA,255,131,250,orchid1,,,X11,,
'EE7AE9,238,122,233,orchid2,,,X11,,
'CD69C9,205,105,201,orchid3,,,X11,,
'8B4789,139,71,137,orchid4,,,X11,,
'EEE8AA,238,232,170,PaleGoldenrod,pale-goldenrod,,X11,SVG,
'98FB98,152,251,152,PaleGreen,pale-green,,X11,SVG,
'9AFF9A,154,255,154,PaleGreen1,,,X11,,
